ID;NAME;Kartenart;Quellkonto KontoID;Quellkonto;Quellkonto Beschreibung;Quellkonto BUB;Quellkonto LIB;Zielkonto KontoID;Zielkonto;Zielkonto Beschreibung;Zielkonto BUB;Zielkonto LIB;Verschiedene Lager;handler
1;Wareneingang Retoure;305;12;WE Retoure;Wareneingang (WE) Retoure;N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
2;Kanalbuchung: Totalschaden Retoure;315;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;N;
3;Totalschaden WE;315;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;N;
4;Kanalbuchung: Drittverwertung Retoure;315;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;33;Drittverk. /Verwert.;"Drittverkauf / Verwertung direkt aus dem Lager bzw. Fililale
Abgang aus BUB";N;N;N;
5;Abgabe lagerfähige Retoure (HF);339;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;;
6;Umbuchung in andere Retourenstelle;;13;Transp.best gesperrt;"Transportbestand; der nicht zusagbar und nicht lieferbar ist";Y;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;Y;
7;Abgabe lagerfähige Retoure (DL);330;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;Y;
8;Lagerdifferenz;305;8;WA Kunde;Warenausgang (WA) Kunde. Verkauf an Kunde Versand und Stationär.;N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
9;Rückgabe an Mandant (Klärfall);315;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;23;Rueckgabe Mandant;"Umsatz Rueckgabe von Ware an den
Mandanten";N;N;N;
10;Totalschaden;;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;N;
11;Abgabe Retoure;;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;13;Transp.best gesperrt;"Transportbestand; der nicht zusagbar und nicht lieferbar ist";Y;N;;
12;Storno Abgabe an Ruecksendestelle;;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;13;Transp.best gesperrt;"Transportbestand; der nicht zusagbar und nicht lieferbar ist";Y;N;N;
13;Verkauf an Kunde;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;8;WA Kunde;Warenausgang (WA) Kunde. Verkauf an Kunde Versand und Stationär.;N;N;N;205
